match_id,date,team1,team2,venue,team1_winrate,team2_winrate,team1_form5,team2_form5,team1_form10,team2_form10,h2h_team1,team1_matches,team2_matches,venue_team1_wr,both_have_history,team1_won
356004,2009-06-11,England,South Africa,Trent Bridge,0.4117647058823529,0.631578947368421,0.6,0.8,0.4,0.7,0.0,17,19,0.5,1,0
356005,2009-06-12,Pakistan,Sri Lanka,Lord's,0.8,0.6153846153846154,0.6,0.6,0.7,0.6,0.6666666666666666,15,13,1.0,1,0
356006,2009-06-12,India,West Indies,Lord's,0.6923076923076923,0.45454545454545453,0.6,0.6,0.7,0.4,0.5,13,11,0.5,1,0
356008,2009-06-13,New Zealand,Pakistan,Kennington Oval,0.45454545454545453,0.75,0.8,0.4,0.5,0.6,0.0,22,16,1.0,1,0
356007,2009-06-13,South Africa,West Indies,Kennington Oval,0.65,0.5,1.0,0.6,0.7,0.5,0.6666666666666666,20,12,1.0,1,1
356009,2009-06-14,Ireland,Sri Lanka,Lord's,0.5,0.6428571428571429,0.5,0.8,0.5,0.6,0.5,4,14,0.5,1,0
356010,2009-06-14,England,India,Lord's,0.3888888888888889,0.6428571428571429,0.4,0.4,0.4,0.6,0.0,18,14,0.0,1,1
356011,2009-06-15,England,West Indies,Kennington Oval,0.42105263157894735,0.46153846153846156,0.4,0.6,0.5,0.5,0.3333333333333333,19,13,0.6666666666666666,1,0
356012,2009-06-15,Ireland,Pakistan,Kennington Oval,0.4,0.7647058823529411,0.4,0.6,0.4,0.6,0.5,5,17,0.5,1,0
356014,2009-06-16,India,South Africa,Trent Bridge,0.6,0.6666666666666666,0.4,1.0,0.5,0.8,1.0,15,21,1.0,1,0
356013,2009-06-16,New Zealand,Sri Lanka,Trent Bridge,0.43478260869565216,0.6666666666666666,0.6,0.8,0.5,0.6,0.3333333333333333,23,15,1.0,1,0
356015,2009-06-18,Pakistan,South Africa,Trent Bridge,0.7777777777777778,0.6818181818181818,0.6,1.0,0.6,0.8,0.5,18,22,0.5,1,1
355988,2009-06-18,India,New Zealand,Trent Bridge,0.5625,0.4166666666666667,0.4,0.4,0.4,0.5,0.0,16,24,0.6666666666666666,1,0
356016,2009-06-19,Sri Lanka,West Indies,Kennington Oval,0.6875,0.5,1.0,0.6,0.7,0.6,1.0,16,14,0.5,1,1
355989,2009-06-19,England,Australia,Kennington Oval,0.4,0.4782608695652174,0.4,0.0,0.5,0.4,0.3333333333333333,20,23,0.5,1,1
356017,2009-06-21,Pakistan,Sri Lanka,Lord's,0.7894736842105263,0.7058823529411765,0.8,1.0,0.7,0.7,0.5,19,17,0.5,1,1
